Row,Value,Numbers
0,0,0000,e^ia0.e^ib0.e^ic0.e^id0.
1,1,0001,e^ia0.e^ib0.e^ic0.e^id1.
2,10,0002,e^ia0.e^ib0.e^ic0.e^id2.
3,11,0003,e^ia0.e^ib0.e^ic0.e^id3.
4,100,0010,e^ia0.e^ib0.e^ic1.e^id0.
5,101,0011,e^ia0.e^ib0.e^ic1.e^id1.
6,110,0012,e^ia0.e^ib0.e^ic1.e^id2.
7,111,0013,e^ia0.e^ib0.e^ic1.e^id3.
8,1000,0020,e^ia0.e^ib0.e^ic2.e^id0.
9,1001,0021,e^ia0.e^ib0.e^ic2.e^id1.
10,1010,0022,e^ia0.e^ib0.e^ic2.e^id2.
11,1011,0023,e^ia0.e^ib0.e^ic2.e^id3.
12,1100,0030,e^ia0.e^ib0.e^ic3.e^id0.
13,1101,0031,e^ia0.e^ib0.e^ic3.e^id1.
14,1110,0032,e^ia0.e^ib0.e^ic3.e^id2.
15,1111,0033,e^ia0.e^ib0.e^ic3.e^id3.
16,10000,0100,e^ia0.e^ib1.e^ic0.e^id0.
17,10001,0101,e^ia0.e^ib1.e^ic0.e^id1.
18,10010,0102,e^ia0.e^ib1.e^ic0.e^id2.
19,10011,0103,e^ia0.e^ib1.e^ic0.e^id3.
20,10100,0110,e^ia0.e^ib1.e^ic1.e^id0.
21,10101,0111,e^ia0.e^ib1.e^ic1.e^id1.
22,10110,0112,e^ia0.e^ib1.e^ic1.e^id2.
23,10111,0113,e^ia0.e^ib1.e^ic1.e^id3.
24,11000,0120,e^ia0.e^ib1.e^ic2.e^id0.
25,11001,0121,e^ia0.e^ib1.e^ic2.e^id1.
26,11010,0122,e^ia0.e^ib1.e^ic2.e^id2.
27,11011,0123,e^ia0.e^ib1.e^ic2.e^id3.
28,11100,0130,e^ia0.e^ib1.e^ic3.e^id0.
29,11101,0131,e^ia0.e^ib1.e^ic3.e^id1.
30,11110,0132,e^ia0.e^ib1.e^ic3.e^id2.
31,11111,0133,e^ia0.e^ib1.e^ic3.e^id3.
32,100000,0200,e^ia0.e^ib2.e^ic0.e^id0.
33,100001,0201,e^ia0.e^ib2.e^ic0.e^id1.
34,100010,0202,e^ia0.e^ib2.e^ic0.e^id2.
35,100011,0203,e^ia0.e^ib2.e^ic0.e^id3.
36,100100,0210,e^ia0.e^ib2.e^ic1.e^id0.
37,100101,0211,e^ia0.e^ib2.e^ic1.e^id1.
38,100110,0212,e^ia0.e^ib2.e^ic1.e^id2.
39,100111,0213,e^ia0.e^ib2.e^ic1.e^id3.
40,101000,0220,e^ia0.e^ib2.e^ic2.e^id0.
41,101001,0221,e^ia0.e^ib2.e^ic2.e^id1.
42,101010,0222,e^ia0.e^ib2.e^ic2.e^id2.
43,101011,0223,e^ia0.e^ib2.e^ic2.e^id3.
44,101100,0230,e^ia0.e^ib2.e^ic3.e^id0.
45,101101,0231,e^ia0.e^ib2.e^ic3.e^id1.
46,101110,0232,e^ia0.e^ib2.e^ic3.e^id2.
47,101111,0233,e^ia0.e^ib2.e^ic3.e^id3.
48,110000,0300,e^ia0.e^ib3.e^ic0.e^id0.
49,110001,0301,e^ia0.e^ib3.e^ic0.e^id1.
50,110010,0302,e^ia0.e^ib3.e^ic0.e^id2.
51,110011,0303,e^ia0.e^ib3.e^ic0.e^id3.
52,110100,0310,e^ia0.e^ib3.e^ic1.e^id0.
53,110101,0311,e^ia0.e^ib3.e^ic1.e^id1.
54,110110,0312,e^ia0.e^ib3.e^ic1.e^id2.
55,110111,0313,e^ia0.e^ib3.e^ic1.e^id3.
56,111000,0320,e^ia0.e^ib3.e^ic2.e^id0.
57,111001,0321,e^ia0.e^ib3.e^ic2.e^id1.
58,111010,0322,e^ia0.e^ib3.e^ic2.e^id2.
59,111011,0323,e^ia0.e^ib3.e^ic2.e^id3.
60,111100,0330,e^ia0.e^ib3.e^ic3.e^id0.
61,111101,0331,e^ia0.e^ib3.e^ic3.e^id1.
62,111110,0332,e^ia0.e^ib3.e^ic3.e^id2.
63,111111,0333,e^ia0.e^ib3.e^ic3.e^id3.
64,1000000,1000,e^ia1.e^ib0.e^ic0.e^id0.
65,1000001,1001,e^ia1.e^ib0.e^ic0.e^id1.
66,1000010,1002,e^ia1.e^ib0.e^ic0.e^id2.
67,1000011,1003,e^ia1.e^ib0.e^ic0.e^id3.
68,1000100,1010,e^ia1.e^ib0.e^ic1.e^id0.
69,1000101,1011,e^ia1.e^ib0.e^ic1.e^id1.
70,1000110,1012,e^ia1.e^ib0.e^ic1.e^id2.
71,1000111,1013,e^ia1.e^ib0.e^ic1.e^id3.
72,1001000,1020,e^ia1.e^ib0.e^ic2.e^id0.
73,1001001,1021,e^ia1.e^ib0.e^ic2.e^id1.
74,1001010,1022,e^ia1.e^ib0.e^ic2.e^id2.
75,1001011,1023,e^ia1.e^ib0.e^ic2.e^id3.
76,1001100,1030,e^ia1.e^ib0.e^ic3.e^id0.
77,1001101,1031,e^ia1.e^ib0.e^ic3.e^id1.
78,1001110,1032,e^ia1.e^ib0.e^ic3.e^id2.
79,1001111,1033,e^ia1.e^ib0.e^ic3.e^id3.
80,1010000,1100,e^ia1.e^ib1.e^ic0.e^id0.
81,1010001,1101,e^ia1.e^ib1.e^ic0.e^id1.
82,1010010,1102,e^ia1.e^ib1.e^ic0.e^id2.
83,1010011,1103,e^ia1.e^ib1.e^ic0.e^id3.
84,1010100,1110,e^ia1.e^ib1.e^ic1.e^id0.
85,1010101,1111,e^ia1.e^ib1.e^ic1.e^id1.
86,1010110,1112,e^ia1.e^ib1.e^ic1.e^id2.
87,1010111,1113,e^ia1.e^ib1.e^ic1.e^id3.
88,1011000,1120,e^ia1.e^ib1.e^ic2.e^id0.
89,1011001,1121,e^ia1.e^ib1.e^ic2.e^id1.
90,1011010,1122,e^ia1.e^ib1.e^ic2.e^id2.
91,1011011,1123,e^ia1.e^ib1.e^ic2.e^id3.
92,1011100,1130,e^ia1.e^ib1.e^ic3.e^id0.
93,1011101,1131,e^ia1.e^ib1.e^ic3.e^id1.
94,1011110,1132,e^ia1.e^ib1.e^ic3.e^id2.
95,1011111,1133,e^ia1.e^ib1.e^ic3.e^id3.
96,1100000,1200,e^ia1.e^ib2.e^ic0.e^id0.
97,1100001,1201,e^ia1.e^ib2.e^ic0.e^id1.
98,1100010,1202,e^ia1.e^ib2.e^ic0.e^id2.
99,1100011,1203,e^ia1.e^ib2.e^ic0.e^id3.
100,1100100,1210,e^ia1.e^ib2.e^ic1.e^id0.
101,1100101,1211,e^ia1.e^ib2.e^ic1.e^id1.
102,1100110,1212,e^ia1.e^ib2.e^ic1.e^id2.
103,1100111,1213,e^ia1.e^ib2.e^ic1.e^id3.
104,1101000,1220,e^ia1.e^ib2.e^ic2.e^id0.
105,1101001,1221,e^ia1.e^ib2.e^ic2.e^id1.
106,1101010,1222,e^ia1.e^ib2.e^ic2.e^id2.
107,1101011,1223,e^ia1.e^ib2.e^ic2.e^id3.
108,1101100,1230,e^ia1.e^ib2.e^ic3.e^id0.
109,1101101,1231,e^ia1.e^ib2.e^ic3.e^id1.
110,1101110,1232,e^ia1.e^ib2.e^ic3.e^id2.
111,1101111,1233,e^ia1.e^ib2.e^ic3.e^id3.
112,1110000,1300,e^ia1.e^ib3.e^ic0.e^id0.
113,1110001,1301,e^ia1.e^ib3.e^ic0.e^id1.
114,1110010,1302,e^ia1.e^ib3.e^ic0.e^id2.
115,1110011,1303,e^ia1.e^ib3.e^ic0.e^id3.
116,1110100,1310,e^ia1.e^ib3.e^ic1.e^id0.
117,1110101,1311,e^ia1.e^ib3.e^ic1.e^id1.
118,1110110,1312,e^ia1.e^ib3.e^ic1.e^id2.
119,1110111,1313,e^ia1.e^ib3.e^ic1.e^id3.
120,1111000,1320,e^ia1.e^ib3.e^ic2.e^id0.
121,1111001,1321,e^ia1.e^ib3.e^ic2.e^id1.
122,1111010,1322,e^ia1.e^ib3.e^ic2.e^id2.
123,1111011,1323,e^ia1.e^ib3.e^ic2.e^id3.
124,1111100,1330,e^ia1.e^ib3.e^ic3.e^id0.
125,1111101,1331,e^ia1.e^ib3.e^ic3.e^id1.
126,1111110,1332,e^ia1.e^ib3.e^ic3.e^id2.
